gvkey,fyear,cl_process_N,cl_product_N,cl_N,cl_pcs,cl_pdt,pt_pure_pcs_CT3,pt_pure_pdt_CT3,cl_pcs_shr,pt_pcs_pure_shr_CT3,cl_pcs_pos,cl_pdt_pos,pt_pure_pcs_CT3_pos,pt_pure_pdt_CT3_pos,logstyrpat,L1log1pspat,invout,dispinv
1013,1987,4.0,20.0,24.0,1.609438,3.0445225,1.0986123,2.9957323,0.16666667,0.0952381,1.0,1.0,1.0,1.0,1.6372526,3.4649742,0,0
1013,1988,2.0,61.99999952316284,63.99999952316284,1.0986123,4.1431346,0.0,3.218876,0.03125,0.0,1.0,1.0,0.0,1.0,1.770706,3.412114,0,0
1013,1989,9.0,23.0,32.0,2.3025851,3.1780539,0.0,3.0445225,0.28125,0.0,1.0,1.0,0.0,1.0,1.7770534,3.4317234,0,0
1013,1990,4.0,93.0,97.0,1.609438,4.543295,0.0,3.8918202,0.041237112,0.0,1.0,1.0,0.0,1.0,1.8591751,3.3823683,0,0
1013,1991,35.0,157.0,192.0,3.583519,5.062595,1.609438,3.7841897,0.18229167,0.08510638,1.0,1.0,1.0,1.0,1.832313,3.5883503,0,0
1013,1992,0.0,90.0,90.0,0.0,4.5108595,0.0,4.406719,0.0,0.0,0.0,1.0,0.0,1.0,1.8409415,3.8264258,0,0
1013,1993,32.0,121.00000002980232,153.00000002980232,3.4965076,4.804021,0.0,5.1298985,0.20915033,0.0,1.0,1.0,0.0,1.0,1.9211386,3.9543824,0,0
1013,1994,36.0,118.0,154.0,3.6109178,4.7791233,2.0794415,4.477337,0.23376623,0.07446808,1.0,1.0,1.0,1.0,1.8330024,4.102461,0,0
1013,1995,52.0,69.0,121.0,3.9702919,4.248495,3.218876,4.6151204,0.42975205,0.19354838,1.0,1.0,1.0,1.0,1.8886224,4.1520724,0,0
1013,1996,11.0,232.00000047683716,243.00000047683716,2.4849067,5.4510384,1.3862944,4.4886365,0.04526749,0.032967035,1.0,1.0,1.0,1.0,1.7769444,4.130046,0,0
1013,1997,86.00000017881393,379.00000047683716,464.9999985694885,4.465908,5.9401712,0.0,5.3752785,0.18494624,0.0,1.0,1.0,0.0,1.0,1.5975448,4.219561,0,0
1016,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.5653138,0.8940452,0,0
1016,1980,1.0,4.0,5.0,0.6931472,1.609438,0.0,0.0,0.2,,1.0,1.0,0.0,0.0,0.62860864,0.80121654,0,0
1016,1981,6.0,15.0,21.0,1.9459101,2.7725887,0.0,0.0,0.2857143,,1.0,1.0,0.0,0.0,0.60005677,1.1131766,0,0
1016,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.597837,1.318393,0,0
1016,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.6931472,1.2020105,0,0
1016,1984,16.0,18.0,34.0,2.8332133,2.944439,0.6931472,0.6931472,0.47058824,0.5,1.0,1.0,1.0,1.0,0.6241543,1.0911777,0,0
1016,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.8846854,1.5435357,0,0
1016,1986,0.0,30.0,30.0,0.0,3.4339871,0.0,1.3862944,0.0,0.0,0.0,1.0,0.0,1.0,0.6348783,1.418022,0,1
1016,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.82448316,1.7333539,0,0
1017,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.153303,0.0,0,0
1017,1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.128893,0.0,0,0
1017,1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.168068,0.0,0,0
1017,1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.085999,0.0,0,0
1017,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.063889,0.0,0,0
1017,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.1375368,0.0,0,0
1017,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0085335,0.0,0,0
1017,1982,0.0,8.0,8.0,0.0,2.1972246,0.0,0.6931472,0.0,0.0,0.0,1.0,0.0,1.0,1.9104455,0.0,0,0
1017,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.7438462,0.6931472,0,0
1017,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8626828,0.6151857,0,0
1017,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8678998,0.54377675,0,0
1017,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.9304857,0.47879303,0,0
1017,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8872352,0.42002937,0,0
1017,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.9410002,0.36721295,0,0
1017,1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.9916182,0.3200158,0,0
1017,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.9492658,0.27806884,0,0
1017,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.9172549,0.24097604,0,0
1017,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8128321,0.20832789,0,0
1017,1993,1.0,18.0,19.0,0.6931472,2.944439,0.0,0.6931472,0.05263158,0.0,1.0,1.0,0.0,1.0,1.6989285,0.1797135,0,0
1017,1994,10.0,42.0,52.0,2.3978953,3.7612002,0.0,2.5649493,0.1923077,0.0,1.0,1.0,0.0,1.0,1.6792226,1.1528931,0,0
1018,1980,28.0,27.0,55.0,3.3672957,3.3322046,0.0,0.6931472,0.5090909,0.0,1.0,1.0,0.0,1.0,2.266804,1.8945642,0,0
1020,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0156631,0.0,0,0
1020,1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0264161,0.0,0,0
1020,1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.8410673,0.0,0,0
1020,1978,0.0,3.0,3.0,0.0,1.3862944,0.0,1.609438,0.0,0.0,0.0,1.0,0.0,1.0,0.95000184,0.0,0,0
1020,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.99931407,0.6931472,0,0
1020,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.9191851,0.6151857,0,0
1020,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.7334211,0.54377675,0,0
1020,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.67266864,0.47879303,0,0
1020,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.64551914,0.42002937,0,0
1020,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.46065152,0.36721295,0,0
1020,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.6109091,0.3200158,0,0
1020,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.6167742,0.27806884,0,0
1020,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.65314186,0.24097604,0,0
1021,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.1311553,0.0,0,0
1021,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0151916,0.0,0,0
1021,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8777742,0.0,0,0
1021,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.7459607,0.0,0,0
1021,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.5521846,0.0,0,0
1021,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.5590676,0.0,0,0
1021,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.7544616,0.0,0,0
1021,1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8812457,0.0,0,0
1021,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.026617,0.0,0,0
1021,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.1422627,0.0,0,0
1021,1992,1.0,7.0,8.0,0.6931472,2.0794415,0.0,0.0,0.125,,1.0,1.0,0.0,0.0,2.2950506,0.0,0,0
1021,1993,3.0,11.0,14.0,1.3862944,2.4849067,0.0,0.0,0.21428572,,1.0,1.0,0.0,0.0,2.1377432,0.6931472,0,0
1021,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.2397118,1.047319,0,0
1021,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.365319,0.94487816,0,0
1021,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.3589842,0.84870756,0,0
1021,1997,6.0,6.0,12.0,1.9459101,1.9459101,0.0,0.0,0.5,,1.0,1.0,0.0,0.0,2.488001,0.75899637,0,0
1022,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.4920924,0.7149148,0,0
1022,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.534917,0.63520586,0,0
1022,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.5431757,0.56206936,0,0
1025,1975,0.0,3.0,3.0,0.0,1.3862944,0.0,1.0986123,0.0,0.0,0.0,1.0,0.0,1.0,2.2297237,0.0,0,0
1025,1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.1939433,0.6931472,0,0
1025,1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.1895323,0.6151857,0,0
1025,1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.147673,0.54377675,0,0
1025,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.1700664,0.47879303,0,0
1025,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.1530082,0.42002937,0,0
1025,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.1587782,0.36721295,0,0
1025,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.1311553,0.3200158,0,0
1025,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0151916,0.27806884,0,0
1025,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8777742,0.24097604,0,0
1034,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.6435276,0.0,0,0
1034,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.5605708,0.0,0,0
1034,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.5365974,0.0,0,0
1034,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.5893972,0.0,0,0
1034,1989,3.0,11.0,14.0,1.3862944,2.4849067,0.0,0.0,0.21428572,,1.0,1.0,0.0,0.0,1.647239,0.0,0,0
1034,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.7121339,0.0,0,0
1034,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8150904,0.0,0,0
1034,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.850727,0.0,0,0
1034,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.791053,0.0,0,0
1034,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.7952843,0.0,0,0
1034,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0003293,0.0,0,0
1034,1996,0.0,56.0,56.0,0.0,4.0430512,0.0,1.7917595,0.0,0.0,0.0,1.0,0.0,1.0,2.2926183,0.0,0,0
1034,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.4148629,0.6931472,0,0
1040,1975,37.0,194.0,231.0,3.637586,5.273,1.7917595,4.574711,0.16017316,0.04950495,1.0,1.0,1.0,1.0,1.0216513,2.7631695,1,1
1040,1976,26.0,198.0,224.0,3.295837,5.293305,1.3862944,4.3820267,0.116071425,0.036585364,1.0,1.0,1.0,1.0,0.9968296,3.728641,1,1
1040,1977,43.0,157.00000023841858,200.00000023841858,3.7841897,5.062595,2.3978953,3.8501475,0.215,0.17857143,1.0,1.0,1.0,1.0,0.9789043,4.1356325,1,1
1040,1978,33.0,143.0,176.0,3.5263605,4.9698133,1.0986123,3.9318256,0.1875,0.03846154,1.0,1.0,1.0,1.0,0.96579134,4.3346696,1,1
1040,1979,26.0,172.0,198.0,3.295837,5.1532917,1.9459101,4.26268,0.13131313,0.078947365,1.0,1.0,1.0,1.0,0.9105601,4.454403,1,1
